Branch
BusNumFrom,BusNumTo,R,X,B,LimitMVAA,LimitMVAB,LimitMVAC,Tap,Phase,Status,Circuit
25,83,0.010500,0.043410,0.007190,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
26,557,0.000010,0.000190,0.005010,1215.999985,2454.000092,1804.000092,1.000000,0.000000,Closed,1
26,557,0.000010,0.000180,0.004680,1215.999985,2454.000092,1804.000092,1.000000,0.000000,Closed,2
26,1468,0.001240,0.055900,0.000000,1347.000027,1347.000027,1347.000027,1.000000,0.000000,Closed,2
26,1468,0.001240,0.055900,0.000000,1347.000027,1347.000027,1347.000027,1.000000,0.000000,Closed,1
29,152,0.008520,0.035230,0.005830,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
30,55,0.023660,0.097850,0.016200,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
30,131,0.008430,0.034850,0.005770,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
32,678,0.006000,0.027000,0.004400,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
32,31,0.000600,0.002700,0.000440,135.000002,555.999994,175.000000,1.000000,0.000000,Closed,1
32,84,0.010800,0.042800,0.005500,120.000005,555.999994,120.000005,1.000000,0.000000,Closed,1
32,474,0.005650,0.023370,0.003870,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
33,1469,0.010660,0.044080,0.007300,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
33,140,0.008620,0.035650,0.005900,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
35,485,0.018650,0.077120,0.012770,221.000004,555.999994,244.000006,1.000000,0.000000,Closed,2
35,485,0.018650,0.077120,0.012770,221.000004,555.999994,244.000006,1.000000,0.000000,Closed,1
35,191,0.017270,0.071390,0.011820,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
35,36,0.000180,0.000760,0.000130,220.000005,563.000011,265.000010,1.000000,0.000000,Closed,2
35,36,0.000180,0.000760,0.000130,220.000005,563.000011,265.000010,1.000000,0.000000,Closed,1
36,192,0.007930,0.032810,0.005430,221.000004,555.999994,265.000010,1.000000,0.000000,Closed,2
36,192,0.007930,0.032810,0.005430,221.000004,555.999994,265.000010,1.000000,0.000000,Closed,1
36,190,0.029140,0.120500,0.019950,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
37,270,0.002610,0.010770,0.001780,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
37,270,0.003340,0.013820,0.002290,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
37,273,0.001530,0.006310,0.001040,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
38,97,0.014860,0.061450,0.010180,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
38,91,0.008530,0.035270,0.005840,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
39,1469,0.001490,0.062300,0.000000,325.999999,369.000006,423.000002,1.000000,0.000000,Closed,1
39,1307,0.000920,0.007400,0.028240,453.000021,935.999966,578.999996,1.000000,0.000000,Closed,1
42,46,0.000720,0.002960,0.000490,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
42,1576,0.008890,0.036750,0.006090,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
42,1576,0.008860,0.036660,0.006070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
42,1330,0.000360,0.001490,0.000250,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
45,44,0.000340,0.001420,0.000230,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
45,43,0.000520,0.002170,0.000360,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
45,1330,0.008800,0.036380,0.006020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
46,1438,0.001230,0.005080,0.000840,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
48,1369,0.023810,0.098440,0.016300,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
48,86,0.010540,0.043580,0.007220,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
48,1108,0.011460,0.047400,0.007850,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
50,412,0.003310,0.013670,0.002260,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
51,131,0.002760,0.011430,0.001890,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
52,131,0.014810,0.061240,0.010140,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
53,152,0.035420,0.146460,0.024250,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
54,132,0.003590,0.028880,0.110190,453.000021,935.999966,578.999996,1.000000,0.000000,Closed,1
55,56,0.008810,0.036420,0.006030,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
56,57,0.011710,0.048440,0.008020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
57,133,0.012480,0.051590,0.008540,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
58,1552,0.000160,0.000680,0.000110,417.000008,417.000008,417.000008,1.000000,0.000000,Closed,1
58,353,0.001930,0.007990,0.001320,417.000008,417.000008,417.000008,1.000000,0.000000,Closed,1
59,15,0.036480,0.150840,0.024980,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
59,1220,0.001490,0.062300,0.000000,325.000000,325.000000,325.000000,1.000000,0.000000,Closed,NX
59,83,0.006370,0.026320,0.004360,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
59,83,0.006380,0.026370,0.004370,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
60,500,0.032020,0.072800,0.001420,95.999998,250.000000,123.000002,1.000000,0.000000,Closed,1
61,1289,0.023430,0.096890,0.016040,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
61,1289,0.024220,0.100140,0.016580,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
62,722,0.000250,0.003830,0.098930,1215.999985,2454.000092,1804.000092,1.000000,0.000000,Closed,1
63,62,0.000000,0.000050,0.001230,1215.999985,1215.999985,1804.000092,1.000000,0.000000,Closed,1
63,800,0.000240,0.003730,0.096000,1215.999985,1215.999985,1804.000092,1.000000,0.000000,Closed,1
64,422,0.000060,0.000240,0.000040,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
65,1573,0.005870,0.024250,0.004020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
68,134,0.014820,0.061300,0.010150,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
69,77,0.017690,0.073150,0.012110,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
69,77,0.017700,0.073190,0.012120,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
71,1572,0.017840,0.073780,0.012220,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
71,78,0.010350,0.042790,0.007090,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
73,74,0.001620,0.006690,0.001110,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
74,1416,0.001460,0.006050,0.001000,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
74,1363,0.002540,0.010520,0.001740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
77,1324,0.018230,0.075390,0.012480,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
77,78,0.014490,0.059900,0.009920,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
77,1324,0.018230,0.075370,0.012480,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
79,1136,0.000080,0.001290,0.033390,1215.999985,2454.000092,1804.000092,1.000000,0.000000,Closed,1
79,1136,0.000080,0.001290,0.033420,1215.999985,2454.000092,1804.000092,1.000000,0.000000,Closed,2
80,375,0.003120,0.012910,0.002140,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
81,112,0.026050,0.107740,0.017840,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
81,122,0.006630,0.027430,0.004540,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
81,1559,0.002270,0.009400,0.001560,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
81,1465,0.025390,0.105010,0.017390,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
81,1559,0.002270,0.009370,0.001550,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
85,1337,0.005630,0.023260,0.003850,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
86,87,0.002910,0.012050,0.001990,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
87,88,0.002350,0.009720,0.001610,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
87,1368,0.013450,0.055600,0.009210,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
88,1391,0.000760,0.003130,0.000520,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
89,1391,0.000120,0.000510,0.000080,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
90,1391,0.001800,0.007430,0.001230,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
90,91,0.002400,0.009940,0.001650,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
93,131,0.015000,0.062040,0.010270,166.999996,555.999994,216.000009,1.000000,0.000000,Closed,1
93,1565,0.009340,0.038610,0.006390,210.999990,555.999994,234.999990,1.000000,0.000000,Closed,1
94,95,0.001380,0.005720,0.000950,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
98,99,0.010140,0.041930,0.006940,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
98,131,0.010670,0.044140,0.007310,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,1365,0.004070,0.016830,0.002790,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,1436,0.000060,0.000250,0.000040,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,1433,0.016930,0.070020,0.011590,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,1364,0.004050,0.016760,0.002780,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,262,0.018230,0.075360,0.012480,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,309,0.002270,0.009400,0.001560,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
105,309,0.002270,0.009390,0.001550,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
106,1365,0.000080,0.000340,0.000060,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
106,1364,0.000060,0.000240,0.000040,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
107,1566,0.007770,0.032140,0.005320,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,3
107,1365,0.005280,0.021840,0.003620,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
107,1566,0.007850,0.032440,0.005370,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
107,1364,0.005300,0.021900,0.003630,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
107,1566,0.007770,0.032130,0.005320,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
108,1568,0.006850,0.028320,0.004690,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
108,133,0.023020,0.095190,0.015760,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
109,1568,0.007890,0.032610,0.005400,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
109,124,0.011670,0.048260,0.007990,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
110,1568,0.016360,0.067640,0.011200,222.000003,555.999994,253.999996,1.000000,0.000000,Closed,1
110,114,0.022890,0.094660,0.015670,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
112,1465,0.007150,0.029560,0.004890,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
113,1265,0.002020,0.008370,0.001390,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
113,1218,0.000030,0.000140,0.000020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
114,1466,0.006480,0.026800,0.004440,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
115,1559,0.012980,0.053660,0.008880,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
115,205,0.033210,0.137310,0.022740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
116,1559,0.005950,0.024600,0.004070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
116,120,0.015380,0.063600,0.010530,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
117,1559,0.009820,0.040600,0.006720,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
117,122,0.001620,0.006690,0.001110,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
117,121,0.003850,0.015940,0.002640,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
118,123,0.010540,0.043570,0.007210,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
118,119,0.007440,0.030760,0.005090,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
119,120,0.006940,0.028700,0.004750,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
121,123,0.002240,0.009260,0.001530,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
124,149,0.031750,0.131300,0.021740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
124,29,0.033140,0.137040,0.022690,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
124,55,0.035060,0.144980,0.024010,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
125,418,0.002600,0.015550,0.002300,220.000005,251.999998,279.999995,1.000000,0.000000,Closed,N
125,415,0.002370,0.009800,0.001620,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
126,415,0.001430,0.005920,0.000980,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,813,0.004610,0.019060,0.003160,185.000002,555.999994,209.999990,1.000000,0.000000,Closed,3
127,814,0.008470,0.035010,0.005800,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,1441,0.011230,0.046430,0.007690,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,1520,0.012820,0.053010,0.008780,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,1520,0.012820,0.053010,0.008780,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
127,505,0.004010,0.016570,0.002740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,510,0.003030,0.012530,0.002080,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
127,510,0.003020,0.012500,0.002070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
127,813,0.004610,0.019060,0.003160,185.000002,555.999994,209.999990,1.000000,0.000000,Closed,2
127,813,0.004610,0.019080,0.003160,185.000002,555.999994,209.999990,1.000000,0.000000,Closed,1
128,220,0.003830,0.015850,0.002620,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,3
128,220,0.003830,0.015850,0.002620,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
128,220,0.003800,0.015720,0.002600,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
129,250,0.009080,0.037560,0.006220,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
129,250,0.009530,0.039410,0.006530,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
131,1252,0.013870,0.057350,0.009500,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
132,1470,0.001490,0.062300,0.000000,325.999999,369.000006,423.000002,1.000000,0.000000,Closed,1
132,1250,0.000750,0.006020,0.022970,453.000021,935.999966,578.999996,1.000000,0.000000,Closed,1
134,288,0.002500,0.010320,0.001710,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
135,1368,0.000120,0.000500,0.000080,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
135,1369,0.000090,0.000360,0.000060,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
136,1367,0.001090,0.004510,0.000750,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
137,159,0.018010,0.074470,0.012330,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
139,140,0.000090,0.000370,0.000060,220.000005,555.999994,242.000008,1.000000,0.000000,Closed,1
140,1471,0.003200,0.164400,0.000000,125.000000,145.000005,170.000005,1.000000,0.000000,Closed,1
141,139,0.009780,0.040460,0.006700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
141,142,0.002020,0.008360,0.001380,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
142,1,0.038890,0.160810,0.026630,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
142,224,0.005370,0.022210,0.003680,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
143,1563,0.004080,0.016860,0.002790,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
143,1561,0.014290,0.059110,0.009790,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
144,1563,0.010710,0.044300,0.007340,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
144,145,0.003910,0.016150,0.002670,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
145,1341,0.003840,0.015870,0.002630,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
145,311,0.005970,0.024700,0.004090,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
146,1341,0.000050,0.000200,0.000030,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
148,1289,0.006480,0.026780,0.004430,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
149,1289,0.010920,0.045170,0.007480,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
150,1289,0.007570,0.031290,0.005180,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
154,1473,0.013030,0.053870,0.008920,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
154,158,0.003120,0.019310,0.002740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
159,1563,0.020110,0.083150,0.013770,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
161,162,0.000590,0.002420,0.000400,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
161,1445,0.000410,0.001710,0.000280,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
162,163,0.001670,0.006910,0.001140,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
162,163,0.001660,0.006880,0.001140,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
162,1445,0.000420,0.001750,0.000290,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
163,164,0.000180,0.000760,0.000130,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
163,1561,0.007660,0.031680,0.005250,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
169,171,0.002210,0.009150,0.001520,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
170,171,0.000270,0.001120,0.000190,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
171,1295,0.004530,0.018750,0.003100,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
173,1266,0.001110,0.004600,0.000760,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
176,1400,0.000100,0.000390,0.000070,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
176,1399,0.000120,0.000500,0.000080,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
177,334,0.001020,0.004230,0.000700,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
178,1415,0.000050,0.000210,0.000030,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
178,1398,0.000030,0.000120,0.000020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
178,1397,0.000190,0.000780,0.000130,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
179,1397,0.000220,0.000920,0.000150,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
179,1385,0.014220,0.058800,0.009740,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
181,1399,0.001000,0.004130,0.000680,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
181,1415,0.000390,0.001610,0.000270,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
184,1553,0.008270,0.034190,0.005660,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
186,496,0.042030,0.173820,0.028780,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
186,187,0.014920,0.061700,0.010220,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
186,501,0.035080,0.145050,0.024020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
188,461,0.011510,0.047580,0.007880,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
191,450,0.020530,0.084910,0.014060,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
192,1527,0.004540,0.018790,0.003110,275.000000,555.999994,329.999995,1.000000,0.000000,Closed,1
192,1527,0.005340,0.018404,0.003233,275.000000,555.999994,329.999995,1.000000,0.000000,Closed,2
194,196,0.002880,0.011920,0.001970,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
194,1442,0.002880,0.011900,0.001970,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
194,195,0.001480,0.006120,0.001010,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
194,195,0.001540,0.006360,0.001050,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
197,1551,0.000960,0.003970,0.000660,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,2
197,1551,0.001130,0.004660,0.000770,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
199,1422,0.000750,0.003110,0.000520,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
200,216,0.021690,0.083000,0.010600,125.000000,555.999994,153.999996,1.000000,0.000000,Closed,3
200,216,0.021690,0.083000,0.010600,125.000000,555.999994,153.999996,1.000000,0.000000,Closed,2
200,216,0.021690,0.083000,0.010600,125.000000,555.999994,153.999996,1.000000,0.000000,Closed,1
202,1289,0.039920,0.165060,0.027330,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
203,204,0.018090,0.074790,0.012390,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
204,205,0.025990,0.107470,0.017800,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
204,202,0.034310,0.141880,0.023490,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
205,495,0.046480,0.192200,0.031830,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
205,206,0.007280,0.030100,0.004980,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
206,187,0.014310,0.059180,0.009800,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
208,1439,0.028590,0.118240,0.019580,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
209,208,0.001940,0.008010,0.001330,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
209,212,0.010540,0.043600,0.007220,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
210,1458,0.000030,0.000140,0.000020,166.999996,555.999994,209.999990,1.000000,0.000000,Closed,1
